Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance_,Previous_qualification,Previous_qualification_grade,Nationality,Mother_s_qualification,Father_s_qualification,Mother_s_occupation,Father_s_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_enrolled,Curricular_units_2nd_sem_enrolled,Unemployment_rate,Inflation_rate,Gdp,Target
1.0,1.0,1.0,9773.0,1.0,1.0,127.0,1.0,19.0,37.0,9.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,15.5,2.8,-4.06,0.0
1.0,17.0,2.0,9500.0,1.0,1.0,135.0,1.0,19.0,1.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,8.0,15.5,2.8,-4.06,1.0
1.0,1.0,1.0,9130.0,1.0,1.0,137.0,1.0,3.0,19.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,10.8,1.4,1.74,1.0
1.0,1.0,3.0,171.0,1.0,1.0,122.0,1.0,1.0,1.0,9.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,11.1,0.6,2.02,1.0
1.0,1.0,4.0,9500.0,1.0,1.0,142.0,1.0,19.0,19.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,12.7,3.7,-1.7,1.0
1.0,1.0,4.0,9670.0,1.0,1.0,125.0,1.0,1.0,38.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,11.1,0.6,2.02,1.0
1.0,1.0,1.0,9500.0,1.0,1.0,126.0,1.0,19.0,19.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,8.0,11.1,0.6,2.02,1.0
1.0,17.0,2.0,9238.0,1.0,1.0,115.0,1.0,19.0,38.0,7.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,16.2,0.3,-0.92,1.0
1.0,1.0,1.0,9147.0,1.0,1.0,135.0,1.0,19.0,1.0,9.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,16.2,0.3,-0.92,1.0
1.0,51.0,1.0,9070.0,1.0,1.0,125.0,1.0,42.0,3.0,125.0,124.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,8.9,1.4,3.51,1.0
1.0,18.0,1.0,8014.0,0.0,1.0,138.0,1.0,19.0,1.0,9.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,12.4,0.5,1.79,1.0
1.0,1.0,1.0,9991.0,0.0,1.0,130.0,1.0,2.0,37.0,3.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,5.0,13.9,-0.3,0.79,1.0
1.0,39.0,1.0,33.0,1.0,1.0,130.0,1.0,38.0,37.0,9.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,7.0,7.0,8.9,1.4,3.51,0.0
1.0,39.0,1.0,9119.0,1.0,10.0,133.1,1.0,34.0,37.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,5.0,7.6,2.6,0.32,0.0
1.0,43.0,1.0,9147.0,1.0,1.0,140.0,1.0,37.0,37.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,5.0,16.2,0.3,-0.92,0.0
4.0,39.0,1.0,9991.0,0.0,1.0,120.0,1.0,19.0,19.0,9.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,7.6,2.6,0.32,1.0
1.0,44.0,1.0,9130.0,1.0,39.0,120.0,6.0,4.0,4.0,3.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,6.0,12.4,0.5,1.79,0.0
1.0,1.0,5.0,9773.0,1.0,1.0,126.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,5.0,12.7,3.7,-1.7,0.0
1.0,1.0,2.0,9147.0,1.0,1.0,133.0,1.0,3.0,19.0,2.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,8.9,1.4,3.51,1.0
1.0,1.0,6.0,9500.0,1.0,1.0,103.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,8.0,11.1,0.6,2.02,1.0
1.0,17.0,1.0,9773.0,1.0,1.0,120.0,1.0,1.0,38.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,12.4,0.5,1.79,0.0
1.0,39.0,1.0,9991.0,0.0,1.0,133.1,1.0,37.0,37.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,16.2,0.3,-0.92,0.0
1.0,17.0,2.0,9238.0,1.0,1.0,130.0,1.0,19.0,19.0,9.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,11.1,0.6,2.02,1.0
1.0,17.0,6.0,9500.0,1.0,1.0,132.0,1.0,37.0,19.0,7.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,8.0,11.1,0.6,2.02,1.0
1.0,44.0,1.0,8014.0,0.0,39.0,130.0,1.0,1.0,19.0,9.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,6.0,12.4,0.5,1.79,1.0
1.0,1.0,1.0,9238.0,1.0,1.0,139.0,1.0,37.0,38.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,12.7,3.7,-1.7,1.0
1.0,39.0,1.0,9254.0,1.0,1.0,130.0,1.0,19.0,38.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,6.0,12.4,0.5,1.79,1.0
1.0,1.0,3.0,9130.0,1.0,1.0,167.0,1.0,37.0,37.0,90.0,90.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,7.6,2.6,0.32,1.0
1.0,39.0,1.0,9991.0,0.0,1.0,130.0,1.0,38.0,38.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,9.4,-0.8,-3.12,0.0
1.0,1.0,1.0,9500.0,1.0,1.0,130.0,1.0,1.0,19.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,8.0,15.5,2.8,-4.06,1.0
2.0,7.0,1.0,9254.0,1.0,3.0,130.0,1.0,1.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,6.0,12.4,0.5,1.79,0.0
1.0,39.0,1.0,9130.0,1.0,40.0,129.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,11.0,12.4,0.5,1.79,0.0
1.0,17.0,1.0,9500.0,1.0,1.0,141.0,1.0,38.0,38.0,7.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,9.4,-0.8,-3.12,1.0
1.0,1.0,2.0,9500.0,1.0,1.0,125.0,1.0,19.0,19.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,8.0,16.2,0.3,-0.92,1.0
1.0,44.0,1.0,9238.0,1.0,39.0,130.0,1.0,19.0,1.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,6.0,13.9,-0.3,0.79,1.0
4.0,42.0,1.0,9500.0,1.0,19.0,133.1,1.0,1.0,1.0,5.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,8.0,13.9,-0.3,0.79,0.0
1.0,1.0,3.0,171.0,1.0,1.0,139.0,1.0,19.0,19.0,5.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10.8,1.4,1.74,1.0
1.0,44.0,1.0,9003.0,1.0,39.0,130.0,1.0,19.0,37.0,9.0,9.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,6.0,8.9,1.4,3.51,1.0
1.0,1.0,3.0,9147.0,1.0,1.0,125.0,1.0,1.0,38.0,7.0,7.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,16.2,0.3,-0.92,0.0
1.0,17.0,1.0,9500.0,1.0,1.0,150.0,1.0,37.0,19.0,8.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,8.0,13.9,-0.3,0.79,1.0
1.0,1.0,1.0,171.0,1.0,1.0,141.0,1.0,19.0,19.0,5.0,10.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15.5,2.8,-4.06,0.0
1.0,17.0,4.0,9254.0,1.0,1.0,118.0,1.0,38.0,37.0,5.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,12.4,0.5,1.79,0.0
1.0,1.0,2.0,9773.0,1.0,1.0,142.0,1.0,38.0,38.0,9.0,9.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,10.8,1.4,1.74,1.0
1.0,17.0,3.0,9147.0,1.0,1.0,120.0,1.0,19.0,19.0,4.0,7.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,10.8,1.4,1.74,0.0
1.0,18.0,4.0,9254.0,1.0,1.0,106.0,1.0,19.0,37.0,7.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,6.0,6.0,9.4,-0.8,-3.12,0.0
1.0,17.0,4.0,9773.0,1.0,1.0,121.0,1.0,1.0,19.0,9.0,8.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,8.9,1.4,3.51,1.0
1.0,17.0,4.0,9500.0,1.0,1.0,150.0,1.0,38.0,37.0,9.0,9.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,7.0,8.0,16.2,0.3,-0.92,1.0
2.0,39.0,1.0,8014.0,0.0,1.0,120.0,1.0,37.0,37.0,9.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,6.0,10.8,1.4,1.74,1.0
1.0,1.0,6.0,9853.0,1.0,1.0,114.0,1.0,19.0,19.0,9.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,10.8,1.4,1.74,0.0
1.0,39.0,1.0,9991.0,0.0,2.0,140.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,5.0,10.8,1.4,1.74,0.0
1.0,39.0,1.0,9003.0,1.0,4.0,160.0,1.0,3.0,3.0,4.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,12.0,12.0,12.4,0.5,1.79,0.0
2.0,39.0,1.0,8014.0,0.0,1.0,130.0,1.0,37.0,37.0,9.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,6.0,9.4,-0.8,-3.12,1.0
1.0,42.0,1.0,9500.0,1.0,1.0,160.0,1.0,37.0,38.0,9.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,8.0,10.8,1.4,1.74,1.0
1.0,39.0,1.0,9670.0,1.0,1.0,120.0,1.0,1.0,19.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,5.0,9.4,-0.8,-3.12,1.0
1.0,17.0,1.0,9070.0,1.0,1.0,124.0,1.0,19.0,38.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,7.6,2.6,0.32,1.0
1.0,39.0,1.0,9500.0,1.0,1.0,133.1,1.0,1.0,1.0,4.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,7.0,13.9,-0.3,0.79,0.0
1.0,17.0,2.0,9773.0,1.0,1.0,133.1,41.0,19.0,1.0,9.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,6.0,8.9,1.4,3.51,1.0
1.0,15.0,1.0,9130.0,1.0,1.0,133.1,41.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,6.0,8.9,1.4,3.51,0.0
2.0,39.0,1.0,9853.0,1.0,10.0,133.1,1.0,37.0,34.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,6.0,7.6,2.6,0.32,0.0
2.0,39.0,1.0,8014.0,0.0,1.0,133.1,1.0,37.0,19.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,6.0,12.7,3.7,-1.7,1.0
1.0,1.0,5.0,9773.0,1.0,1.0,135.0,1.0,37.0,1.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,8.9,1.4,3.51,1.0
1.0,1.0,5.0,9500.0,1.0,1.0,132.0,1.0,37.0,37.0,7.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,8.0,12.4,0.5,1.79,1.0
1.0,1.0,4.0,9500.0,1.0,1.0,115.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,7.0,13.9,-0.3,0.79,0.0
1.0,53.0,1.0,9085.0,1.0,42.0,130.0,1.0,38.0,38.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,9.0,8.9,1.4,3.51,0.0
1.0,1.0,4.0,171.0,1.0,1.0,133.1,1.0,1.0,1.0,9.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.2,0.3,-0.92,1.0
2.0,39.0,1.0,8014.0,0.0,1.0,130.0,1.0,37.0,37.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,6.0,9.4,-0.8,-3.12,0.0
4.0,39.0,1.0,9003.0,1.0,12.0,133.1,1.0,37.0,37.0,9.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,13.0,15.5,2.8,-4.06,1.0
1.0,18.0,1.0,9853.0,1.0,1.0,123.0,1.0,19.0,19.0,9.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,11.1,0.6,2.02,0.0
1.0,51.0,1.0,9070.0,1.0,1.0,130.0,1.0,3.0,1.0,2.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,11.0,11.1,0.6,2.02,1.0
1.0,1.0,2.0,9238.0,1.0,1.0,122.0,1.0,37.0,38.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,16.2,0.3,-0.92,0.0
1.0,1.0,1.0,9085.0,1.0,1.0,113.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,15.5,2.8,-4.06,0.0
1.0,1.0,5.0,9500.0,1.0,1.0,111.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,12.4,0.5,1.79,0.0
1.0,1.0,1.0,9238.0,1.0,1.0,142.0,1.0,37.0,37.0,6.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,13.9,-0.3,0.79,1.0
1.0,1.0,1.0,9085.0,1.0,1.0,131.0,1.0,19.0,19.0,9.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,10.8,1.4,1.74,1.0
1.0,1.0,3.0,9773.0,1.0,1.0,158.0,1.0,1.0,38.0,4.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,10.8,1.4,1.74,1.0
1.0,17.0,2.0,9500.0,1.0,1.0,122.0,1.0,37.0,37.0,9.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,7.6,2.6,0.32,0.0
1.0,1.0,2.0,9085.0,1.0,1.0,140.0,1.0,37.0,38.0,9.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,9.4,-0.8,-3.12,1.0
1.0,1.0,1.0,9147.0,1.0,1.0,127.0,1.0,2.0,19.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,11.1,0.6,2.02,1.0
1.0,17.0,1.0,9254.0,1.0,1.0,133.1,1.0,1.0,1.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,9.4,-0.8,-3.12,0.0
1.0,1.0,2.0,9147.0,1.0,1.0,120.0,1.0,19.0,19.0,9.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,16.2,0.3,-0.92,1.0
1.0,1.0,1.0,171.0,1.0,1.0,137.0,1.0,3.0,19.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.8,1.4,1.74,0.0
1.0,1.0,1.0,9670.0,1.0,1.0,131.0,1.0,38.0,38.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,9.4,-0.8,-3.12,1.0
1.0,1.0,1.0,9085.0,1.0,1.0,130.0,1.0,19.0,38.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,15.5,2.8,-4.06,1.0
1.0,17.0,6.0,9556.0,1.0,1.0,122.0,1.0,1.0,1.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,13.9,-0.3,0.79,0.0
1.0,44.0,1.0,9085.0,1.0,39.0,160.0,1.0,37.0,37.0,9.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,12.4,0.5,1.79,1.0
1.0,17.0,3.0,9238.0,1.0,1.0,131.0,1.0,1.0,39.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,12.4,0.5,1.79,1.0
1.0,17.0,6.0,9500.0,1.0,1.0,132.0,1.0,1.0,37.0,8.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,8.0,12.4,0.5,1.79,1.0
1.0,1.0,3.0,9500.0,1.0,1.0,138.0,1.0,19.0,19.0,5.0,8.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,8.0,13.9,-0.3,0.79,0.0
1.0,17.0,2.0,9070.0,1.0,1.0,130.0,1.0,37.0,37.0,9.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,7.6,2.6,0.32,1.0
1.0,1.0,4.0,9147.0,1.0,1.0,126.0,1.0,1.0,19.0,4.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,8.9,1.4,3.51,1.0
1.0,17.0,6.0,9500.0,1.0,1.0,148.0,1.0,1.0,19.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,13.9,-0.3,0.79,0.0
1.0,43.0,1.0,9238.0,1.0,1.0,130.0,1.0,38.0,37.0,9.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,7.0,7.6,2.6,0.32,1.0
1.0,1.0,1.0,9670.0,1.0,1.0,117.0,1.0,1.0,38.0,3.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,6.0,12.4,0.5,1.79,0.0
1.0,17.0,1.0,9670.0,1.0,1.0,120.0,1.0,19.0,19.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,7.6,2.6,0.32,1.0
1.0,1.0,1.0,9773.0,1.0,1.0,153.0,1.0,1.0,1.0,141.0,175.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,6.0,8.9,1.4,3.51,1.0
1.0,18.0,1.0,9500.0,1.0,1.0,178.0,1.0,19.0,1.0,4.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,8.0,13.9,-0.3,0.79,1.0
1.0,1.0,5.0,9500.0,1.0,1.0,129.0,1.0,37.0,37.0,9.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,7.6,2.6,0.32,1.0
1.0,1.0,6.0,9773.0,1.0,1.0,116.0,1.0,19.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,12.4,0.5,1.79,1.0
1.0,1.0,3.0,9238.0,1.0,1.0,135.0,1.0,1.0,12.0,9.0,10.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,12.4,0.5,1.79,1.0
1.0,1.0,3.0,9500.0,1.0,1.0,141.0,1.0,19.0,19.0,9.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,8.0,15.5,2.8,-4.06,1.0
1.0,17.0,5.0,9853.0,1.0,1.0,132.0,1.0,37.0,38.0,5.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,9.4,-0.8,-3.12,1.0
1.0,1.0,4.0,9254.0,1.0,1.0,132.0,1.0,12.0,19.0,9.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,7.6,2.6,0.32,0.0
1.0,17.0,1.0,9254.0,1.0,1.0,113.0,1.0,1.0,37.0,9.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,7.6,2.6,0.32,0.0
1.0,1.0,1.0,9147.0,1.0,1.0,134.0,1.0,3.0,19.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,13.9,-0.3,0.79,1.0
1.0,1.0,1.0,9500.0,1.0,1.0,136.0,1.0,1.0,19.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,8.0,11.1,0.6,2.02,1.0
1.0,1.0,1.0,9085.0,1.0,1.0,129.0,1.0,1.0,38.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,7.6,2.6,0.32,1.0
1.0,1.0,1.0,9853.0,1.0,1.0,137.0,1.0,37.0,37.0,9.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,7.6,2.6,0.32,1.0
1.0,43.0,1.0,9853.0,1.0,1.0,115.0,1.0,3.0,37.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,9.4,-0.8,-3.12,0.0
1.0,1.0,1.0,9853.0,1.0,1.0,129.0,1.0,38.0,37.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,7.6,2.6,0.32,0.0
1.0,1.0,1.0,9147.0,1.0,1.0,131.0,1.0,38.0,38.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,12.4,0.5,1.79,1.0
1.0,17.0,2.0,9238.0,1.0,1.0,133.0,1.0,1.0,37.0,7.0,9.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,12.7,3.7,-1.7,1.0
1.0,1.0,3.0,9238.0,1.0,1.0,125.0,1.0,19.0,1.0,9.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,9.4,-0.8,-3.12,1.0
1.0,39.0,1.0,8014.0,0.0,1.0,120.0,1.0,1.0,19.0,6.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,6.0,11.1,0.6,2.02,1.0
